题号,题型,知识域,难度,题干,选项A,选项B,选项C,选项D,答案,解析,考点
Q001,单选,密码算法,基础,AES-128 的密钥长度与分组长度分别是？,64 位 / 64 位,128 位 / 64 位,128 位 / 128 位,256 位 / 128 位,C,AES 密钥支持 128/192/256 位、分组固定 128 位；SM4 与 AES-128 相同、密钥与分组均为 128 位。,分组密码参数
Q002,单选,密码算法,基础,DES 的有效密钥长度是？,48 位,56 位,64 位,128 位,B,DES 密钥 64 位中 8 位为奇偶校验、有效 56 位；1998 年 EFF 的 Deep Crack 已实现暴力破解、现必须替换为 AES 或 SM4。,DES
Q003,单选,密码算法,基础,SM4 属于哪一类密码算法？,哈希算法,流密码,非对称签名算法,分组密码,D,SM4 是国密分组密码：分组与密钥均为 128 位、32 轮非平衡 Feistel 结构；标准为 GB/T 32907-2016。,SM4
Q004,单选,密码算法,基础,3DES 的有效密钥强度约为？,56 位,112 位,168 位,256 位,B,3DES 名义密钥 168 位、受中间相遇攻击影响有效强度约 112 位；另有 SWEET32 生日攻击、NIST 已禁止其在新系统中用于加密。,3DES
Q005,单选,密码算法,基础,哪种工作模式下相同明文分组会得到相同密文分组？,ECB,CBC,CTR,GCM,A,ECB 各分组独立加密、会泄漏明文统计模式（经典企鹅图示例）、实际数据加密禁止使用。,工作模式
Q006,单选,密码算法,基础,同时提供机密性与完整性保护的认证加密（AEAD）模式是？,ECB,CBC,GCM,OFB,C,GCM 由 CTR 加密与 GHASH 认证组成、是 TLS 等协议主流的 AEAD 方案；注意其 nonce 重用会导致认证密钥泄漏。,AEAD
Q007,单选,密码算法,基础,MD5 的输出长度是？,96 位,128 位,160 位,256 位,B,MD5 输出 128 位；其抗碰撞性已被攻破（王小云等 2004 年提出碰撞方法、Flame 恶意软件 2012 年实际利用 chosen-prefix 碰撞伪造签名）。,MD5
Q008,单选,密码算法,进阶,标志着 SHA-1 被实际攻破的研究是？,RSA-155 分解,SHAttered 碰撞,Logjam 降级攻击,ROCA 缺陷,B,2017 年 Google 与 CWI 完成 SHA-1 首例实际碰撞（SHAttered）、2020 年 Shambles 进一步给出 chosen-prefix 碰撞；此后主流浏览器与 CA 全面弃用 SHA-1 证书。,SHA-1
Q009,单选,密码算法,基础,RSA 算法的安全性基于哪个数学难题？,模乘离散对数,大整数分解,椭圆曲线离散对数,格上最短向量,B,RSA 基于大整数分解；DH/DSA 基于模乘离散对数、ECC 基于椭圆曲线离散对数——Shor 算法会让这三类问题全部失效。,RSA
Q010,单选,密码算法,基础,与 RSA-3072 安全强度相当的 ECC 密钥长度约为？,128 位,160 位,256 位,512 位,C,ECC 单位密钥强度更高：256 位椭圆曲线约等效 3072 位 RSA（128 位安全强度）；这也是 TLS 证书普遍采用 P-256/X25519 的原因。,ECC
Q011,单选,密码算法,基础,SM2 是什么类型的密码算法？,基于 256 位椭圆曲线的公钥算法,128 位分组密码,杂凑算法,流密码,A,SM2 为国密椭圆曲线公钥算法（GB/T 32918）、提供加密、签名与密钥交换；量子威胁与 ECC 相同。,SM2
Q012,单选,密码算法,进阶,SM9 与 SM2 最大的区别是？,SM9 基于大整数分解,SM9 是标识密码（IBC）、公钥可以是身份标识,SM9 是流密码,SM9 只能加密不能签名,B,SM9 为标识密码算法、直接用手机号或邮箱等身份串作为公钥、无需证书体系、基于双线性对构造（GM/T 0044）。,SM9
Q013,单选,密码算法,基础,下列安全属性中、只有数字签名能提供的是？,机密性,完整性,认证,不可否认性,D,MAC/HMAC 也能提供完整性与认证、但双方持有同一密钥、无法向第三方证明是谁生成的；签名用私钥生成、公钥可公开验证、因此具备不可否认性。,数字签名
Q014,单选,密码算法,进阶,RSA 加密的推荐填充方案是？,PKCS#1 v1.5 旧填充,OAEP,PSS,不填充,B,教科书式 RSA 是确定性的且易受选择密文攻击；实际加密必须用 OAEP、签名用 PSS。,RSA 填充
Q015,单选,密码算法,进阶,ECDSA 签名随机数 k 被重用或泄漏的直接后果是？,签名变慢,单次签名失败,私钥可被直接恢复,公钥泄漏,C,由两条签名的差分可解出 k、进而恢复私钥；PS3 被破解正是源于固定 k。缓解办法是 RFC 6979 确定性 nonce。,ECDSA
Q016,单选,密码算法,基础,HMAC 与普通哈希（如 SHA-256）的本质区别是？,输出更短,引入密钥参与运算,不需要输入数据,抗碰撞更强,B,MAC 用密钥构造、提供完整性与认证但无不可否认性；HMAC 基于哈希构造、CMAC 基于分组密码构造。,MAC
Q017,单选,密码算法,基础,对现有公钥密码（RSA/ECC）构成根本威胁的量子算法是？,Grover,Shor,BHT,Diffie-Hellman 扩展,B,Shor 算法在多项式时间求解大整数分解与离散对数、使 RSA/DSA/DH/ECC 全部失效；Grover 只给搜索平方加速、对称算法加长密钥即可应对。,量子威胁
Q018,单选,密码算法,进阶,Grover 算法对 AES-128 的影响是？,完全攻破,有效强度降至约 64 位,无影响,密钥长度自动减半,B,Grover 只提供平方加速、AES-128 的量子安全强度约剩 2^64、已不足；后量子时代推荐 AES-256（约 2^128）。,Grover
Q019,单选,密码算法,进阶,NIST 首批后量子标准中的 ML-KEM（FIPS 203）源自哪个算法、属于什么类型？,SPHINCS+ / 数字签名,CRYSTALS-Kyber / 密钥封装（KEM）,Falcon / 数字签名,Classic McEliece / 数字签名,B,FIPS 203 即 ML-KEM（源于 Kyber、格上构造）；FIPS 204 为 ML-DSA（Dilithium 签名）、FIPS 205 为 SLH-DSA（SPHINCS+ 签名）。,ML-KEM
Q020,单选,密码算法,挑战,同源（Isogeny）路线代表算法 SIKE 被经典计算机攻破（2022 年）说明什么？,格密码同样不安全,新的数学假设必须经过充分密码分析才能进入标准,通用量子计算机已经问世,哈希签名已被攻破,B,Castryck 与 Decru 用普通计算机攻破 SIKE、说明未经充分审查的新数学假设风险很高；这也是 NIST 同时标准化的多条路线并选择 HQC 作为异构备份的原因。,SIKE
Q021,单选,同态加密,进阶,提出首个全同态加密（FHE）构造并引入自举（bootstrapping）思想的学者是？,Shor,Gentry,Paillier,Rivest,B,Gentry 于 2009 年基于理想格给出首个 FHE 构造；Paillier 只是加法同态的部分同态方案。,FHE
Q022,单选,同态加密,进阶,面向 AI 推理、支持近似实数向量运算的 FHE 方案族是？,BGV,BFV,CKKS,TFHE,C,CKKS 采用近似算术、天然匹配神经网络运算；BGV/BFV 面向精确整数、TFHE 面向布尔门且自举最快。,CKKS
